,artists,titles,uri
220,The Strokes,Barely Legal,21Ay8Y9Pr91nSauPGtK6MW
221,Hippo Campus,Bashful Creatures,0esd0AL4TygoM6UuUIxmd8
222,The xx,Basic Space,16NE62lzGmi6ehGTNVI659
223,Stromae,bâtard,4APjoR6Fmrrl707Z1cShHS
224,King Krule,Bathed In Grey,7swRIXk3yPMiPdRcFRdvxL
225,Justin Hurwitz,Bathroom Mirror / You're Coming Right?,7IgYUzuv1g95q1WsexzCwQ
226,Metronomy,The Bay,3ySxo6vRP0t9WCqhYXXMWN
227,Tame Impala,Be Above It,2Gl1Qdx5Px5kVYe0PQoGI0
228,Ed Sheeran,Be Like You,6ThrnYkLPlKar6dUIggR6Q
229,Alabama Shakes,Be Mine,3dFMISiq7Ia0R9BQYkVN6i
230,Bahamas,Be My Witness,3vvgWkF6GaM0r1JORGF9ju
231,The Rolling Stones,Beast Of Burden - Remastered 1994,77oU2rjC5XbjQfNe3bD6so
232,Michael Jackson,Beat It,1OOtq8tRnDM8kG2gqUPjAj
233,Michael Jackson,Beat It - Single Version,1yQpbs22l21kaav58SAJuI
234,Timber Timbre,Beat The Drum Slowly,6Vde8wapanZQLb5Gf4JsrN
235,TRICOT MACHINE,Beau temps mauvais temps,3JXSeU9gmp9m5nLroykrfs
236,Freshly Ground,Beautiful Boy,5tITpbSrH6BVfLRTJg6Sga
237,Ben Harper,Beautiful Boy,5cUbs8a3T4f9xdTeBqrQCy
238,The Beatles,Because,2VRNkdYbYUAOAcw71IqPBx
239,The Beatles,Because - Anthology 3 Version,5joRE018kvW87xEknBp8cS
240,The Beatles,Because - Remastered 2009,1rxoyGj1QuPoVi8fOft1Kt
241,Milky Chance,Becoming,3Gl2zYelYDlusFWT4QzRsa
242,Piano Tribute Players,Becoming,1dThzOHX04rY0jlPorIO6O
243,Spoon,Before Destruction,4njjwHVxMxrNotH1dkGBrZ
244,The Rolling Stones,Before They Make Me Run - Remastered,4cAlWy0jWMtn5AdtZy4dHi
245,C418,Beginning,4B3RbRUP0fl2KxaBWVUfo9
246,The Beatles,A Beginning - Anthology 3 Version,34dsKRJHIadrrNdCDtMwGn
247,Sufjan Stevens,"Behold the Birth of Man, the Face of Glory",0PkiYUFuSKgihrkNyi9VuC
248,The Beatles,Being For The Benefit Of Mr Kite! - Take 7 / Anthology 2 Version,09pDDl5WR4VAX7QKvJZkG8
249,The Beatles,Being For The Benefit Of Mr Kite! - Takes 1 & 2 / Anthology 2 Version,6a4VLKj9smz1GPTYdV3StU
250,The Beatles,Being For The Benefit Of Mr Kite! / I Want You (She's So Heavy) / Helter Skelter,2MAU8kcMbo0lHXWzZ19SNo
251,The Beatles,Being For The Benefit Of Mr. Kite! - Remastered 2009,6W35n1UlkvqhfMZstB4BXs
252,The Killers,Believe Me Natalie,67kIfRYFai45yakOuXhndQ
253,Purity Ring,Belispeak,0Sia9jActaEwcQR8AGFM8r
254,Jack Johnson,Belle,3FK0U3qJYP3E24Vx5QSBWz
255,WhoMadeWho,Below the Cherry Moon,0j7YCfKXYCyAzwfujEmphD
256,Les Colocs,Belzébuth,2DaAXOfTA1SwChkswKIv6q
