artists,titles,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,clusters,id
The Paper Kites,Paint,6qLizmQtvavW9iksgI1N1I,0.364,0.308,-13.052,0.0402,0.896,0.00227,0.123,0.389,73.331,191773.0,1.0,6qLizmQtvavW9iksgI1N1I
Electric Youth,A Real Hero,2aBZr53e7mAgwleoUZtln2,0.455,0.447,-8.405,0.0371,0.785,0.602,0.0966,0.393,112.012,267693.0,5.0,2aBZr53e7mAgwleoUZtln2
Lorde,Yellow Flicker Beat,0Nf53RDPZEjFrQE4B5n6Vf,0.585,0.61,-8.388,0.0353,0.103,0.000314,0.113,0.0597,94.969,232507.0,6.0,0Nf53RDPZEjFrQE4B5n6Vf
Nancy Sinatra,These Boots Are Made For Walkin',2nwCO1PqpvyoFIvq3Vrj8N,0.74,0.392,-11.996,0.0824,0.483,1.11e-06,0.0965,0.387,82.742,166008.0,1.0,2nwCO1PqpvyoFIvq3Vrj8N
The Kinks,"Lola (Mono Single Version ""Cherry Cola"") - 2014 Remastered Version",0c2ta2eSTOMDpGHsitgb5c,0.416,0.839,-5.324,0.0379,0.47,0.0787,0.193,0.894,151.774,245627.0,4.0,0c2ta2eSTOMDpGHsitgb5c
Sublime,Santeria,1yplWxZQqvSg9RRf9FjJm3,0.676,0.762,-5.112,0.0426,0.0287,1.47e-06,0.171,0.565,90.399,183200.0,6.0,1yplWxZQqvSg9RRf9FjJm3
Eddie Vedder,Society,4kRGpTEcDdZTAbc645OL2U,0.64,0.33,-10.848,0.0321,0.895,0.000585,0.112,0.296,80.706,236307.0,1.0,4kRGpTEcDdZTAbc645OL2U
blink-182,She's Out of Her Mind,6qoug9ABj1R83QsOGxN7ZW,0.447,0.967,-2.706,0.0793,0.00448,0.0,0.487,0.606,179.991,162720.0,2.0,6qoug9ABj1R83QsOGxN7ZW
First Aid Kit,My Silver Lining,5BkNCuxzzid0gz9sx3NNbX,0.479,0.725,-4.671,0.0335,0.026,0.000129,0.209,0.43,101.938,215493.0,6.0,5BkNCuxzzid0gz9sx3NNbX
A Tribe Called Quest,Can I Kick It?,3Ti0GdlrotgwsAVBBugv0I,0.848,0.666,-6.547,0.274,0.173,0.000699,0.129,0.744,96.662,251573.0,0.0,3Ti0GdlrotgwsAVBBugv0I
Arctic Monkeys,When The Sun Goes Down,35InpekRUU1txrK2GHnvSH,0.351,0.867,-4.737,0.162,0.036,0.0,0.106,0.45,169.598,202013.0,2.0,35InpekRUU1txrK2GHnvSH
Arctic Monkeys,When The Sun Goes Down,35InpekRUU1txrK2GHnvSH,,,,,,,,,,,,
Arctic Monkeys,When The Sun Goes Down,35InpekRUU1txrK2GHnvSH,,,,,,,,,,,,
Arctic Monkeys,When The Sun Goes Down,35InpekRUU1txrK2GHnvSH,,,,,,,,,,,,
Arctic Monkeys,When The Sun Goes Down,35InpekRUU1txrK2GHnvSH,,,,,,,,,,,,
Arctic Monkeys,When The Sun Goes Down,35InpekRUU1txrK2GHnvSH,,,,,,,,,,,,
Arctic Monkeys,When The Sun Goes Down,35InpekRUU1txrK2GHnvSH,,,,,,,,,,,,
Arctic Monkeys,When The Sun Goes Down,35InpekRUU1txrK2GHnvSH,,,,,,,,,,,,
Lana Del Rey,High By The Beach,7g3htkaLz4ETFn0cifwM3y,0.536,0.486,-11.067,0.0346,0.244,0.00788,0.12,0.0968,131.988,257573.0,1.0,7g3htkaLz4ETFn0cifwM3y
Spin Doctors,Two Princes,0cuq829zRNq4AEdmDJA4aw,0.544,0.905,-10.732,0.0646,0.00165,1.97e-06,0.0532,0.825,103.594,256947.0,4.0,0cuq829zRNq4AEdmDJA4aw
Oasis,Champagne Supernova - Remastered,40bynawzslg9U7ACq07fAj,0.286,0.796,-4.625,0.0388,0.47,0.063,0.364,0.12,150.272,448438.0,2.0,40bynawzslg9U7ACq07fAj
Fleetwood Mac,Go Your Own Way - 2004 Remaster,07GvNcU1WdyZJq3XxP0kZa,0.583,0.947,-5.12,0.0378,0.0185,0.00109,0.0679,0.803,135.448,223613.0,4.0,07GvNcU1WdyZJq3XxP0kZa
Ween,Ocean Man,6M14BiCN00nOsba4JaYsHW,0.72,0.912,-6.13,0.0363,0.551,0.00122,0.0982,0.973,122.782,126947.0,4.0,6M14BiCN00nOsba4JaYsHW
The Coral,Pass It On,5uB85PzlWrnNnxL2A1TcKD,0.395,0.727,-6.015,0.0375,0.282,7.12e-06,0.0683,0.872,179.097,139133.0,4.0,5uB85PzlWrnNnxL2A1TcKD
The Coral,Dreaming of You,40SE4lxCPNibwbdw1zzWV5,0.447,0.729,-6.108,0.0307,0.431,0.00037,0.109,0.971,199.098,141200.0,4.0,40SE4lxCPNibwbdw1zzWV5
Brooklyn,Volcanology,5oPDm3evplwHn3HxsSwlP4,0.593,0.862,-4.005,0.0347,0.0241,3.33e-06,0.042,0.847,97.061,214000.0,4.0,5oPDm3evplwHn3HxsSwlP4
Poe,Haunted,0as2FkOPwyZJnCqlDeUlmQ,0.495,0.867,-7.623,0.0606,0.0266,0.000601,0.293,0.5,85.968,320240.0,6.0,0as2FkOPwyZJnCqlDeUlmQ
Red Hot Chili Peppers,Scar Tissue,4zbC8E1OvJmx2DlChRCWUU,0.595,0.717,-4.803,0.0295,0.0779,0.00274,0.108,0.547,88.969,215907.0,6.0,4zbC8E1OvJmx2DlChRCWUU
Red Hot Chili Peppers,Californication,0v32NbDiKUNuECTAkeCL4a,0.592,0.767,-2.788,0.027,0.0021,0.00165,0.127,0.328,96.483,329733.0,6.0,0v32NbDiKUNuECTAkeCL4a
Daughtry,It's Not Over,0wIhWLNLIOmzQ89B3rtTd3,0.426,0.92,-3.243,0.0599,0.0559,0.0,0.245,0.296,145.944,215027.0,2.0,0wIhWLNLIOmzQ89B3rtTd3
The All-American Rejects,It Ends Tonight,1FMHNVeJ9s1x1l1WlaRs2I,0.454,0.636,-4.731,0.0273,0.00228,0.0,0.154,0.313,87.89,244827.0,6.0,1FMHNVeJ9s1x1l1WlaRs2I
Incubus,Drive,7nnWIPM5hwE3DaUBkvOIpy,0.645,0.792,-7.34,0.036,0.0562,0.0121,0.119,0.666,90.565,232453.0,6.0,7nnWIPM5hwE3DaUBkvOIpy
No Doubt,Spiderwebs,5ZcmP16SFTTgHT7WyZYWNQ,0.484,0.925,-4.046,0.058,0.0373,1.72e-06,0.248,0.66,143.246,266707.0,4.0,5ZcmP16SFTTgHT7WyZYWNQ
White Denim,Paint Yourself,0yOejql4hrkoB3VYqpvtnW,0.376,0.912,-6.01,0.0664,0.263,0.000116,0.261,0.832,98.111,205040.0,4.0,0yOejql4hrkoB3VYqpvtnW
The All-American Rejects,Dirty Little Secret,5lDriBxJd22IhOH9zTcFrV,0.465,0.954,-4.251,0.044,0.000346,5.38e-06,0.573,0.458,143.85,193653.0,3.0,5lDriBxJd22IhOH9zTcFrV
OneRepublic,Feel Again,6nmVeODcBpsGKx5RPv003D,0.474,0.818,-7.513,0.0541,0.0243,3.56e-06,0.105,0.353,139.933,185613.0,2.0,6nmVeODcBpsGKx5RPv003D
Train,Drops of Jupiter (Tell Me),2hKdd3qO7cWr2Jo0Bcs0MA,0.481,0.638,-5.862,0.0276,0.153,0.0,0.154,0.497,79.064,259933.0,6.0,2hKdd3qO7cWr2Jo0Bcs0MA
The Fray,You Found Me,4IoYz8XqqdowINzfRrFnhi,0.338,0.803,-5.412,0.0413,0.0187,0.0,0.136,0.4,151.994,241853.0,2.0,4IoYz8XqqdowINzfRrFnhi
Matchbox Twenty,How Far We've Come,0gbLfFlEyVHiKzlZIb0gce,0.566,0.906,-5.092,0.0642,0.00452,0.0,0.21,0.787,83.0,212253.0,6.0,0gbLfFlEyVHiKzlZIb0gce
The Goo Goo Dolls,Here Is Gone,7p1PhtGLjq0ISncRXBHqXY,0.351,0.74,-3.432,0.0318,0.000502,0.00144,0.107,0.218,102.124,238333.0,6.0,7p1PhtGLjq0ISncRXBHqXY
Yeah Yeah Yeahs,Maps,4EwNG7uCvLEm5a6KgerCHf,0.532,0.925,-5.964,0.074,0.0013,0.306,0.508,0.171,119.776,219760.0,3.0,4EwNG7uCvLEm5a6KgerCHf
The Goo Goo Dolls,Slide,0eG5CqXwJpa5MBjYyg1lRm,0.371,0.845,-4.199,0.0399,0.00753,0.0,0.0556,0.471,112.198,213200.0,6.0,0eG5CqXwJpa5MBjYyg1lRm
Sugar Ray,When It's Over - David Kahne Main,5ZsPy9wHH733NlU6c4v2Hi,0.675,0.775,-5.772,0.0522,0.0387,0.0,0.383,0.933,99.945,217853.0,4.0,5ZsPy9wHH733NlU6c4v2Hi
Keane,Somewhere Only We Know,6uNP8aOZphmhsYlOwRhNh1,0.457,0.644,-5.317,0.0253,0.0794,1.1e-06,0.0796,0.381,172.232,238787.0,2.0,6uNP8aOZphmhsYlOwRhNh1
Alela Diane,Take Us Back,3WpvCDpHLRGvD8i43GeuwW,0.42,0.182,-11.272,0.0319,0.946,0.000444,0.108,0.35,156.451,285240.0,1.0,3WpvCDpHLRGvD8i43GeuwW
The Fray,Over My Head (Cable Car),6c8QH9FMFKj0ZgNeiyOx4v,0.591,0.699,-5.221,0.0449,0.0204,0.0,0.0614,0.733,116.029,236373.0,4.0,6c8QH9FMFKj0ZgNeiyOx4v
Linkin Park,Shadow of the Day,0OYcEfskah1egYHjYRvbg1,0.534,0.393,-7.813,0.0292,0.00479,0.0107,0.107,0.0641,110.007,290360.0,6.0,0OYcEfskah1egYHjYRvbg1
Eiffel 65,Blue (Da Ba Dee) - Extended Remix,502X3BGNst24d1LUKkLh35,0.824,0.978,-9.244,0.0616,0.236,0.000718,0.393,0.78,127.997,286667.0,4.0,502X3BGNst24d1LUKkLh35
Barenaked Ladies,Pinch Me,2RQ3fWFZJJe4G5KkHEACww,0.68,0.857,-4.132,0.0373,0.0151,2.88e-05,0.056,0.794,95.349,285160.0,4.0,2RQ3fWFZJJe4G5KkHEACww
Mumford & Sons,The Cave,4YkmvF9kPRR0HOOK5XUxjZ,0.593,0.507,-9.463,0.0386,0.0467,0.000101,0.0964,0.344,141.978,215627.0,6.0,4YkmvF9kPRR0HOOK5XUxjZ
Mumford & Sons,Little Lion Man,1YER6GeCM2IBftKjbxAe1U,0.522,0.486,-8.05,0.0275,0.0271,1.72e-05,0.0901,0.481,138.651,245173.0,6.0,1YER6GeCM2IBftKjbxAe1U
Matchbox Twenty,Unwell - 2007 Remaster,0PXWpNBYg52gABrn1qL1bD,0.442,0.793,-5.152,0.0347,0.0456,0.0,0.328,0.437,80.985,237267.0,6.0,0PXWpNBYg52gABrn1qL1bD
Stereophonics,Maybe Tomorrow,414a7UjgozCezMUz6Ng70h,0.495,0.679,-5.976,0.0362,0.21,0.000167,0.354,0.542,80.9,273160.0,6.0,414a7UjgozCezMUz6Ng70h
Fuel,Hemorrhage (In My Hands),3E8eSqBoqLs8ELbrK3NJHs,0.315,0.829,-4.117,0.0422,0.000142,0.00077,0.217,0.34,152.135,237347.0,2.0,3E8eSqBoqLs8ELbrK3NJHs
Smash Mouth,All Star,3cfOd4CMv2snFaKAnMdnvK,0.731,0.867,-5.881,0.032,0.0395,0.0,0.0861,0.776,104.019,200373.0,4.0,3cfOd4CMv2snFaKAnMdnvK
Imagine Dragons,It's Time,6BtmXhTJMM9sBTHeYYASGz,0.656,0.884,-4.748,0.0372,0.0162,0.0,0.145,0.86,105.009,237987.0,4.0,6BtmXhTJMM9sBTHeYYASGz
Lou Bega,Mambo No. 5 (A Little Bit of...),3qrUiGsAC0ZXKP6uOtikOY,0.607,0.827,-5.728,0.403,0.0906,0.0,0.315,0.91,174.294,220133.0,0.0,3qrUiGsAC0ZXKP6uOtikOY
Imagine Dragons,Demons,3LlAyCYU26dvFZBDUIMb7a,0.505,0.71,-3.015,0.0321,0.19,0.00025,0.329,0.428,89.938,175200.0,6.0,3LlAyCYU26dvFZBDUIMb7a
Reel Big Fish,I Know You Too Well To Like You Anymore,4FH8xKyUcs9w04CP01uI6v,0.691,0.99,-1.507,0.0955,0.0396,0.0,0.313,0.646,112.946,265067.0,4.0,4FH8xKyUcs9w04CP01uI6v
The Smashing Pumpkins,Bullet With Butterfly Wings,1EzeXGaZdqsA4Nst1AIAL2,0.389,0.705,-10.331,0.0553,5.01e-05,0.86,0.09,0.555,122.154,257707.0,5.0,1EzeXGaZdqsA4Nst1AIAL2
The Offspring,"You're Gonna Go Far, Kid",1FMm3wG5WOhi7js35KR7Ea,0.55,0.918,-3.159,0.0682,0.00466,0.0,0.206,0.563,126.083,177827.0,4.0,1FMm3wG5WOhi7js35KR7Ea
Green Day,American Idiot,6nTiIhLmQ3FWhvrGafw2zj,0.38,0.988,-2.042,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,176346.0,2.0,6nTiIhLmQ3FWhvrGafw2zj
The Verve,Bitter Sweet Symphony,5yEPxDjbbzUzyauGtnmVEC,0.389,0.889,-6.546,0.0442,0.0415,0.0,0.463,0.524,171.121,358427.0,2.0,5yEPxDjbbzUzyauGtnmVEC
Snow Patrol,Run - Revised Album Version,4jrqkTSKcIUA7RN8SVa04W,0.416,0.658,-5.249,0.0282,0.000456,3.16e-05,0.125,0.184,74.594,356667.0,6.0,4jrqkTSKcIUA7RN8SVa04W
Sublime,What I Got,3oVSsJXNADnYAnZWiEWFJH,0.795,0.706,-7.494,0.101,0.0172,0.000384,0.326,0.623,95.593,171067.0,0.0,3oVSsJXNADnYAnZWiEWFJH
Third Eye Blind,Semi-Charmed Life,6luSHkUXVmx3DKGN4TuRqF,0.637,0.902,-5.077,0.0325,0.00752,0.0,0.323,0.685,102.014,269040.0,6.0,6luSHkUXVmx3DKGN4TuRqF
Three Days Grace,Never Too Late,3HE50TVRquwXe9yv2HFoNL,0.433,0.778,-4.68,0.0371,0.00838,0.0,0.163,0.217,149.864,209333.0,2.0,3HE50TVRquwXe9yv2HFoNL
Snow Patrol,Chasing Cars,11bD1JtSjlIgKgZG2134DZ,0.563,0.592,-4.571,0.0276,0.209,5.08e-05,0.132,0.136,104.016,267933.0,6.0,11bD1JtSjlIgKgZG2134DZ
Gorillaz,On Melancholy Hill,0q6LuUqGLUiCPP1cbdwFs3,0.689,0.739,-5.81,0.026,1.51e-05,0.509,0.064,0.578,120.423,233867.0,5.0,0q6LuUqGLUiCPP1cbdwFs3
Blue October,Into The Ocean,2SiqlgLMfKQbczSMRp8drY,0.758,0.606,-6.444,0.0325,0.282,0.0,0.144,0.361,107.95,239947.0,6.0,2SiqlgLMfKQbczSMRp8drY
Deftones,Diamond Eyes,1FdU4oF88UOJwA9GYgognx,0.331,0.845,-4.876,0.0551,0.000109,0.000212,0.0758,0.468,153.484,188267.0,2.0,1FdU4oF88UOJwA9GYgognx
3 Doors Down,Kryptonite,0S0d7Qad5v7ZLQiAuwQxab,0.544,0.877,-4.923,0.0279,0.00394,1.49e-05,0.158,0.533,99.027,233933.0,6.0,0S0d7Qad5v7ZLQiAuwQxab
Stereophonics,Have A Nice Day - Decade In The Sun Version,3GVDjNUSJGFIUnf27cfVmb,0.494,0.786,-5.341,0.0434,0.0152,0.0,0.425,0.492,120.828,204307.0,6.0,3GVDjNUSJGFIUnf27cfVmb
Edward Sharpe & The Magnetic Zeros,Home,10ViidwjGLCfVtGPfdcszR,0.545,0.59,-6.693,0.0327,0.32,0.000389,0.124,0.127,111.739,306320.0,6.0,10ViidwjGLCfVtGPfdcszR
Gorillaz,Clint Eastwood,7yMiX7n9SBvadzox8T5jzT,0.663,0.694,-8.627,0.171,0.0253,0.0,0.0698,0.525,167.953,340920.0,2.0,7yMiX7n9SBvadzox8T5jzT
She Wants Revenge,Tear You Apart,3urJUvRhgMrwydaTQFVEg9,0.583,0.729,-6.645,0.0341,0.000522,1.47e-05,0.487,0.539,152.996,284613.0,3.0,3urJUvRhgMrwydaTQFVEg9
The Cranberries,Zombie,1UF0LHvbTWrgVuQOBiAIYP,0.302,0.704,-6.851,0.0384,0.0174,0.00166,0.36,0.3,166.66,308741.0,2.0,1UF0LHvbTWrgVuQOBiAIYP
Lazlo Bane,Superman,3ffJKEoVfbiSlDHztViu6O,0.535,0.79,-5.654,0.0375,0.07,6.12e-06,0.129,0.829,161.965,218813.0,4.0,3ffJKEoVfbiSlDHztViu6O
Fall Out Boy,"Sugar, We're Goin Down",2TfSHkHiFO4gRztVIkggkE,0.494,0.842,-4.784,0.0843,0.00579,0.0,0.122,0.574,162.011,229093.0,2.0,2TfSHkHiFO4gRztVIkggkE
Linkin Park,Somewhere I Belong,1d5UuboIPRMD4HaU3yycKC,0.451,0.951,-3.754,0.0645,0.00038,2.39e-06,0.261,0.442,162.065,213933.0,2.0,1d5UuboIPRMD4HaU3yycKC
Carl Douglas,Kung Fu Fighting,40hgbG1iX08Apyy0FesR7p,0.598,0.673,-10.431,0.0693,0.0422,6.84e-05,0.289,0.59,102.035,197693.0,6.0,40hgbG1iX08Apyy0FesR7p
Disturbed,Inside the Fire,2nmL3Tb25nvkUnwjwmL0Sq,0.458,0.951,-7.321,0.0619,5.24e-05,0.129,0.0919,0.609,94.016,231040.0,6.0,2nmL3Tb25nvkUnwjwmL0Sq
Vanessa Carlton,A Thousand Miles,4w1lzcaoZ1IC2K5TwjalRP,0.56,0.825,-3.862,0.0379,0.323,0.0,0.161,0.268,94.931,237493.0,6.0,4w1lzcaoZ1IC2K5TwjalRP
CeeLo Green,Fuck You,4ycLiPVzE5KamivXrAzGFG,0.69,0.834,-5.79,0.0566,0.129,0.0,0.136,0.738,127.43,222933.0,4.0,4ycLiPVzE5KamivXrAzGFG
Timbaland,Apologize,77rlwv75irCcg50920G04u,0.656,0.584,-6.034,0.0297,0.0371,0.0,0.0888,0.0993,117.999,185013.0,6.0,77rlwv75irCcg50920G04u
The All-American Rejects,Move Along,2l57cfmCnOkwNX1tky02n1,0.518,0.916,-3.858,0.0454,0.000148,0.0,0.291,0.646,109.864,238880.0,6.0,2l57cfmCnOkwNX1tky02n1
The All-American Rejects,Gives You Hell,6ihL9TjfRjadfEePzXXyVF,0.718,0.691,-6.44,0.0387,0.0159,0.0,0.0627,0.552,100.008,213107.0,6.0,6ihL9TjfRjadfEePzXXyVF
Flyleaf,I'm So Sick,3CzOoYfw7mj5jMHGsJp9TG,0.434,0.961,-4.247,0.0974,8.45e-05,2.88e-06,0.0938,0.274,153.969,176160.0,2.0,3CzOoYfw7mj5jMHGsJp9TG
Flyleaf,Fully Alive,2MGpDu11Ute4wFJxaM7m0u,0.454,0.947,-4.085,0.0841,0.0187,0.0,0.346,0.591,149.076,154133.0,4.0,2MGpDu11Ute4wFJxaM7m0u
The Cult,She Sells Sanctuary,3hKJZU04zjmj7hrEZXpe8f,0.55,0.777,-8.592,0.0296,6.65e-06,0.821,0.0872,0.346,139.577,263000.0,5.0,3hKJZU04zjmj7hrEZXpe8f
The Cult,Fire Woman,7koCGMcz05yYlj6lfxIR8q,0.49,0.791,-9.172,0.037,0.000179,0.00186,0.245,0.486,132.055,311027.0,6.0,7koCGMcz05yYlj6lfxIR8q
Peter Murphy,Cuts You Up,4ijNab1GM0JSZoe0I2KCOd,0.63,0.806,-10.728,0.0412,0.0228,0.00515,0.135,0.802,134.467,327133.0,4.0,4ijNab1GM0JSZoe0I2KCOd
Lacuna Coil,Enjoy The Silence,2uSzg26XVxXnGiFBBU5KGW,0.498,0.663,-6.882,0.0284,0.000939,0.0485,0.21,0.0989,112.984,245587.0,6.0,2uSzg26XVxXnGiFBBU5KGW
Green Day,Wake Me up When September Ends,3ZffCQKLFLUvYM59XKLbVm,0.546,0.814,-5.146,0.0314,0.023,0.0,0.0972,0.146,104.98,285653.0,6.0,3ZffCQKLFLUvYM59XKLbVm
Green Day,Holiday / Boulevard of Broken Dreams,0MsrWnxQZxPAcov7c74sSo,0.29,0.827,-3.451,0.0362,0.000659,2.55e-06,0.301,0.45,167.086,493400.0,2.0,0MsrWnxQZxPAcov7c74sSo
Green Day,Jesus of Suburbia,58KPPL1AdLHMvR2O2PZejr,0.3,0.929,-3.214,0.0636,0.000259,2.26e-06,0.329,0.59,147.116,548253.0,2.0,58KPPL1AdLHMvR2O2PZejr
Green Day,Basket Case,6L89mwZXSOwYl76YXfX13s,0.442,0.943,-3.205,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,181533.0,6.0,6L89mwZXSOwYl76YXfX13s
Disturbed,Down with the Sickness,4ImIJRZNJhNQLLdUFSYJoS,0.649,0.896,-2.704,0.056,0.000319,1.19e-05,0.102,0.924,90.009,278707.0,4.0,4ImIJRZNJhNQLLdUFSYJoS
Disturbed,Indestructible,1HrEnf8mgS1Grlf0PKjDCO,0.43,0.966,-4.605,0.0733,0.000209,0.123,0.371,0.524,179.956,278027.0,2.0,1HrEnf8mgS1Grlf0PKjDCO
Disturbed,Land of Confusion,4ClGNWLK9vZMBtO0CpnyOE,0.553,0.991,-3.703,0.0925,4.44e-05,0.0729,0.179,0.324,114.919,287067.0,6.0,4ClGNWLK9vZMBtO0CpnyOE
Disturbed,Ten Thousand Fists,5hkgrWxkobGtg30I7DsfVu,0.54,0.977,-3.409,0.0876,2.55e-05,0.0588,0.0533,0.211,106.907,212040.0,6.0,5hkgrWxkobGtg30I7DsfVu
Billy Idol,Rebel Yell - Remastered,2ZTIw0fZhFp3nnvF41nvVc,0.534,0.694,-9.296,0.0472,0.000466,0.0485,0.155,0.45,166.791,286840.0,2.0,2ZTIw0fZhFp3nnvF41nvVc
Billy Idol,White Wedding - Pt. 1 / Remastered 2002,029Q1AJFCWz3g5k2UV1O46,0.65,0.826,-6.107,0.0361,0.016,0.00163,0.334,0.764,147.341,253280.0,4.0,029Q1AJFCWz3g5k2UV1O46
Capital Cities,Safe And Sound,1fzJyTCKeZuTSLByCsLRHl,0.649,0.807,-4.834,0.0301,0.000178,0.0074,0.0599,0.816,117.964,193227.0,4.0,1fzJyTCKeZuTSLByCsLRHl
The Killers,When You Were Young,70wYA8oYHoMzhRRkARoMhU,0.467,0.988,-3.313,0.112,0.000152,0.0484,0.28,0.321,130.433,220427.0,2.0,70wYA8oYHoMzhRRkARoMhU
Jonathan Coulton,Re: Your Brains,2mzuAU3JdBAYIdpFb1znOR,0.596,0.576,-6.941,0.0267,0.324,0.0,0.202,0.468,80.035,272280.0,6.0,2mzuAU3JdBAYIdpFb1znOR
Jonathan Coulton,The Future Soon,2chEZfdAqJvlw9dM3hAU6p,0.594,0.723,-6.571,0.0276,0.0304,0.0,0.0877,0.511,100.002,230320.0,6.0,2chEZfdAqJvlw9dM3hAU6p
Jonathan Coulton,Code Monkey,1rIFZk9tTUtHP3vULR5wXe,0.569,0.612,-6.333,0.0423,0.0842,0.0,0.0858,0.78,159.938,190560.0,4.0,1rIFZk9tTUtHP3vULR5wXe
Sublime,Santeria,6cJqlSO19vsfCsH1FeFI35,0.673,0.772,-5.246,0.0427,0.0223,1.23e-06,0.141,0.585,90.356,183200.0,6.0,6cJqlSO19vsfCsH1FeFI35
The Prodigy,Smack My Bitch Up,3tehrxZR8eaANHov4cEctL,0.607,0.993,-4.511,0.148,0.00314,0.593,0.112,0.229,136.208,342733.0,5.0,3tehrxZR8eaANHov4cEctL
Tenacious D,The Metal,5rDy3kaQcVp4P6NAhjTsih,0.613,0.93,-4.116,0.131,0.00301,0.00119,0.535,0.352,112.213,165960.0,3.0,5rDy3kaQcVp4P6NAhjTsih
Tenacious D,Double Team,3ojBGxHAH27JDsLK6Q6nLD,0.448,0.909,-4.521,0.247,0.122,3.01e-05,0.166,0.255,97.177,190320.0,6.0,3ojBGxHAH27JDsLK6Q6nLD
Tenacious D,Tribute,53XBXgtdqf1gmWMm3rqV27,0.365,0.767,-6.185,0.0681,0.181,0.000856,0.0942,0.422,94.174,248053.0,6.0,53XBXgtdqf1gmWMm3rqV27
The Goo Goo Dolls,Come to Me,1jvoeTYt8usIxGWQUSzEyz,0.589,0.669,-4.835,0.0253,0.0505,0.0,0.131,0.421,92.06,225333.0,6.0,1jvoeTYt8usIxGWQUSzEyz
Michael Andrews,Mad World,6FvSJjsxM3o5ctpexdB31e,0.353,0.0811,-14.573,0.0351,0.966,2.27e-06,0.104,0.356,173.415,187933.0,1.0,6FvSJjsxM3o5ctpexdB31e
Kenny G,My Favorite Things,567gpaiqe8cvcZdFVET9uE,0.555,0.441,-11.079,0.0359,0.0986,0.206,0.107,0.39,84.097,196733.0,6.0,567gpaiqe8cvcZdFVET9uE
Danzig,Mother,7txxAtOMwLLnQTpKeBL6bp,0.365,0.763,-9.45,0.0591,0.00726,0.000457,0.0865,0.342,148.366,204867.0,2.0,7txxAtOMwLLnQTpKeBL6bp
Reel Big Fish,Everyone Else Is An Asshole,7vPLB09s3XNhIM5S5wF1Si,0.62,0.975,-2.507,0.0868,0.0278,0.0,0.109,0.751,123.476,251093.0,4.0,7vPLB09s3XNhIM5S5wF1Si
Modest Mouse,Float On,2lwwrWVKdf3LR9lbbhnr6R,0.649,0.888,-4.807,0.0293,0.013,2.23e-06,0.0888,0.553,100.975,208467.0,6.0,2lwwrWVKdf3LR9lbbhnr6R
Outasight,Tonight Is the Night,0tr0D36L1RwPdUTFfyNq37,0.625,0.786,-3.814,0.0465,0.0343,1.05e-06,0.202,0.537,119.982,190000.0,6.0,0tr0D36L1RwPdUTFfyNq37
Limp Bizkit,Behind Blue Eyes,24NAvbfmN5qcf6nVXpiJbc,0.591,0.497,-6.654,0.0264,0.497,0.0,0.124,0.0983,120.33,269973.0,1.0,24NAvbfmN5qcf6nVXpiJbc
Nine Inch Nails,Hurt (Quiet),4XsF4DoULvJ5gn7qt9JvLV,0.655,0.221,-12.002,0.0357,0.594,0.000817,0.117,0.0744,80.024,308493.0,1.0,4XsF4DoULvJ5gn7qt9JvLV
Muse,Uprising,4VqPOruhp5EdPBeR92t6lQ,0.602,0.905,-4.046,0.0775,0.000202,0.064,0.117,0.411,128.019,304840.0,6.0,4VqPOruhp5EdPBeR92t6lQ
Gavin DeGraw,Not Over You,6j7hih15xG2cdYwIJnQXsq,0.63,0.894,-4.592,0.0544,0.255,0.0,0.181,0.364,142.051,218520.0,6.0,6j7hih15xG2cdYwIJnQXsq
Disturbed,Criminal,4bY2SbmhtGWyQLlBP9ZH4W,0.529,0.984,-3.998,0.0559,0.000255,0.0445,0.0936,0.696,104.003,255933.0,6.0,4bY2SbmhtGWyQLlBP9ZH4W
Stone Sour,Through Glass,76aadnUFFANRNDs6L3aqxw,0.545,0.753,-4.618,0.036,0.0417,0.0,0.389,0.434,105.754,282947.0,6.0,76aadnUFFANRNDs6L3aqxw
Dido,Thank You,751gBcu62kORDelX7FV0mM,0.722,0.595,-9.928,0.0415,0.284,0.00054,0.0694,0.738,79.981,217827.0,0.0,751gBcu62kORDelX7FV0mM
Matchbox Twenty,She's so Mean,4a5cwZZc57KyccBxFS2yjV,0.671,0.868,-3.7,0.0377,0.0137,1.17e-06,0.19,0.674,118.015,230608.0,4.0,4a5cwZZc57KyccBxFS2yjV
Neon Trees,Animal,1fBl642IhJOE5U319Gy2Go,0.482,0.833,-5.611,0.0449,0.000346,0.0,0.365,0.74,148.039,212293.0,4.0,1fBl642IhJOE5U319Gy2Go
Flyleaf,Cassie,1640EvJmOr0kiryFyjPb0o,0.387,0.966,-4.316,0.366,0.00173,0.0,0.516,0.344,167.938,177933.0,2.0,1640EvJmOr0kiryFyjPb0o
Paramore,Still into You,1yjY7rpaAQvKwpdUliHx0d,0.602,0.923,-3.763,0.044,0.0098,0.0,0.0561,0.765,136.01,216013.0,4.0,1yjY7rpaAQvKwpdUliHx0d
Paramore,Misery Business,6SpLc7EXZIPpy0sVko0aoU,0.517,0.906,-3.677,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,211520.0,4.0,6SpLc7EXZIPpy0sVko0aoU
