artists,titles,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,clusters,id
Amy Winehouse,Addicted,7or26qS3BfpTtWO3BFw5GE,0.786,0.846,-3.752,0.0391,0.00144,0.0172,0.101,0.695,107.976,165120.0,4.0,7or26qS3BfpTtWO3BFw5GE
Alvvays,Adult Diversion,22cDldSuj9rgIMXwn4Ofn0,0.327,0.948,-4.355,0.0711,0.0355,0.515,0.126,0.469,177.328,207640.0,2.0,22cDldSuj9rgIMXwn4Ofn0
Patrick Watson,Adventures in Your Own Backyard,5MbRyPfgokD3c6nxCV7TFG,0.353,0.547,-9.793,0.0364,0.126,0.116,0.323,0.213,146.043,291440.0,2.0,5MbRyPfgokD3c6nxCV7TFG
Daft Punk,Aerodynamic,3H3cOQ6LBLSvmcaV7QkZEu,0.624,0.911,-7.482,0.0524,0.329,0.861,0.0727,0.135,122.902,212547.0,5.0,3H3cOQ6LBLSvmcaV7QkZEu
Hans Zimmer,Afraid of Time,3Vef8GlFWEzrP23UwHjWWl,0.251,0.00342,-38.794,0.0433,0.919,0.0255,0.117,0.0504,119.997,152673.0,7.0,3Vef8GlFWEzrP23UwHjWWl
Arcade Fire,Afterlife,6D43oUO6nImERk2psfXdNY,0.638,0.873,-5.545,0.0363,0.0943,0.0395,0.226,0.682,115.95,352755.0,6.0,6D43oUO6nImERk2psfXdNY
Sufjan Stevens,Ah Holy Jesus,7H819kvtogxVpKDFplUFKc,0.161,0.176,-14.604,0.0446,0.986,0.000232,0.178,0.0808,67.503,161653.0,7.0,7H819kvtogxVpKDFplUFKc
Sufjan Stevens,Ah Holy Jesus (a capella),67kwRadxmmURPuWIpEyymY,0.16,0.17,-20.478,0.0376,0.994,0.763,0.0941,0.0399,134.526,59880.0,7.0,67kwRadxmmURPuWIpEyymY
Sufjan Stevens,Ah Holy Jesus (with reed organ),1FEYWXG23hr3m2vXHpbZeq,0.296,0.164,-12.602,0.0348,0.959,0.0,0.201,0.253,85.346,88800.0,1.0,1FEYWXG23hr3m2vXHpbZeq
Cage The Elephant,Ain't No Rest For The Wicked,1SfOQKZv0c9FqNXd2Kjt6P,0.639,0.908,-5.575,0.138,0.0735,0.0,0.553,0.926,156.029,175467.0,3.0,1SfOQKZv0c9FqNXd2Kjt6P
The Beatles,Ain't She Sweet - Anthology 1 Version,3OUpVpFeNx5jeInhHqiNfs,0.495,0.854,-5.699,0.0434,0.208,0.0,0.0371,0.819,77.967,133347.0,4.0,3OUpVpFeNx5jeInhHqiNfs
The Beatles,Ain't She Sweet - Anthology 3 Version,2zsz6dip4W83IlAgp2zP4Y,0.81,0.502,-10.399,0.0541,0.0805,0.0564,0.177,0.685,121.466,128480.0,0.0,2zsz6dip4W83IlAgp2zP4Y
Radiohead,Airbag,3OsUjkcv1C1v5udFhgRSFg,0.306,0.872,-7.313,0.05,0.00792,0.8,0.261,0.648,167.946,287880.0,5.0,3OsUjkcv1C1v5udFhgRSFg
,Alabama Shakes performing Don't Wanna Fight Live on KCRW,251,,,,,,,,,,,,
Karkwa,À La Chaîne,2Ol6GoKiAvPOyk52QIQvf7,0.314,0.874,-6.33,0.0398,0.05,0.0784,0.411,0.398,159.829,265573.0,2.0,2Ol6GoKiAvPOyk52QIQvf7
Karkwa,Alaska,1mYPdmzGjsYpWnFF2XO3MJ,0.216,0.517,-8.211,0.0325,0.0366,0.318,0.35,0.129,99.434,322547.0,6.0,1mYPdmzGjsYpWnFF2XO3MJ
Jean Leloup,Alger,4knSB7lhQAtO6UqUeaGox8,0.792,0.892,-5.626,0.171,0.109,0.0,0.0695,0.816,108.305,208787.0,0.0,4knSB7lhQAtO6UqUeaGox8
Fleece,Aliens,27U2Idl2Jl63dltNrgP6rm,0.426,0.502,-11.085,0.0296,0.582,0.206,0.123,0.153,130.018,254852.0,1.0,27U2Idl2Jl63dltNrgP6rm
Daft Punk,Alive,0HadrlP2mwJidGF3pyBX4H,0.723,0.716,-6.407,0.0437,5.42e-05,0.905,0.072,0.0748,128.701,316253.0,5.0,0HadrlP2mwJidGF3pyBX4H
Daft Punk,Alive,1PH5Es89c1cENU8WVuWwbp,0.723,0.716,-6.407,0.0437,5.42e-05,0.905,0.072,0.0748,128.701,316253.0,5.0,1PH5Es89c1cENU8WVuWwbp
Brazilian Girls,All About Us,22ZIa4vKhUFzb4YZqp7g94,0.729,0.767,-6.809,0.0621,0.121,0.0294,0.0839,0.748,119.965,240360.0,4.0,22ZIa4vKhUFzb4YZqp7g94
Humble Braggers,All Alone,5GRhjCK4XgTajZvcP8FsRw,0.432,0.796,-9.39,0.0546,0.000613,1.79e-05,0.239,0.183,119.997,216911.0,6.0,5GRhjCK4XgTajZvcP8FsRw
The Whitest Boy Alive,All Ears,2hkfe7ug1Wabzapt5HQec4,0.457,0.0952,-15.476,0.0413,0.693,0.032,0.113,0.138,139.432,199760.0,1.0,2hkfe7ug1Wabzapt5HQec4
Nick Galemore,All Goes Wrong,1Lwux3cAXrUG3UWjUEGteT,0.665,0.809,-8.263,0.0391,0.0382,0.855,0.378,0.472,120.009,482223.0,5.0,1Lwux3cAXrUG3UWjUEGteT
Vance Joy,All I Ever Wanted,62nFeTispaiYq1KzGrONsl,0.518,0.624,-6.134,0.0256,0.0312,0.000171,0.131,0.241,87.565,216880.0,6.0,62nFeTispaiYq1KzGrONsl
Radiohead,All I Need,51ygW389BW4Dut3B69pSwc,0.668,0.477,-8.709,0.0358,0.517,0.446,0.139,0.0966,88.005,228747.0,1.0,51ygW389BW4Dut3B69pSwc
Bahamas,All I've Ever Known,0MOMLuhHqNgJ7uAceOPmfj,0.669,0.203,-11.059,0.0317,0.706,0.221,0.107,0.265,125.864,375973.0,1.0,0MOMLuhHqNgJ7uAceOPmfj
The Beatles,All I've Got To Do - Remastered 2009,5tztLBvTlNC15Np2tnQ5Ll,0.49,0.579,-10.301,0.0344,0.217,0.0,0.0644,0.879,119.403,122573.0,4.0,5tztLBvTlNC15Np2tnQ5Ll
Björk,All Is Full of Love,3rrtbnOBDzKQfyYKTezEFe,0.481,0.49,-10.098,0.0271,0.0536,0.123,0.0915,0.0378,152.04,287000.0,2.0,3rrtbnOBDzKQfyYKTezEFe
